X1,X2,target
255,11,2
224,7,2
114,14,1
255,22,2
67,6,1
255,25,2
46,25,2
255,8,2
197,26,2
255,4,1
105,2,1
122,18,1
255,12,2
255,24,2
255,6,2
166,23,2
107,11,2
255,10,2
168,23,2
147,10,2
255,12,2
255,12,1
185,23,2
23,2,2
255,9,1
255,13,2
88,14,2
230,5,2
155,3,1
233,6,2
255,17,2
245,17,2
255,19,2
184,7,1
181,0,2
252,20,2
255,17,1
255,3,2
145,2,2
11,19,2
255,24,2
255,5,2
23,4,2
230,23,2
255,13,2
255,15,2
255,13,2
50,21,2
255,1,2
90,7,1
156,2,1
135,23,2
181,14,2
255,22,2
8,3,2
255,20,1
104,20,2
255,15,1
126,18,1
26,15,2
34,14,1
255,4,2
255,9,2
26,8,2
174,3,1
36,7,1
255,22,2
255,20,1
37,2,2
21,12,2
255,19,2
246,16,2
255,12,2
255,12,2
255,22,2
255,12,1
255,22,2
246,3,2
255,14,2
253,25,2
255,20,2
255,21,1
61,19,2
255,19,2
103,11,2
255,13,2
255,15,1
37,2,2
255,13,1
232,19,2
73,1,2
255,7,2
255,5,2
255,19,2
200,11,2
101,20,2
79,2,1
92,17,2
255,22,2
156,14,2
49,21,2
255,1,2
255,7,2
190,2,1
255,2,1
162,25,2
193,19,2
255,26,2
255,0,2
232,18,2
22,23,2
255,21,2
255,11,2
255,25,2
255,10,2
255,11,2
255,22,2
32,13,1
218,14,2
93,17,2
255,14,2
165,25,2
255,18,2
6,1,2
155,13,2
34,13,1
146,4,2
255,22,2
255,5,1
30,16,2
71,15,2
27,15,1
64,9,2
92,10,1
24,13,2
97,24,2
78,17,2
255,3,1
255,10,2
122,10,1
255,18,2
255,2,2
255,15,2
97,8,1
255,14,1
63,18,2
255,9,2
255,9,2
150,10,1
255,19,2
255,12,2
255,10,2
18,17,2
195,5,1
255,25,2
255,18,2
129,19,2
255,1,2
255,22,2
146,2,2
255,18,2
50,22,2
69,22,2
255,22,2
87,10,2
185,6,1
255,16,2
255,0,2
255,3,2
69,2,1
255,10,2
234,24,2
227,14,2
160,22,2
255,16,2
255,14,2
128,13,2
191,10,2
208,8,1
142,23,2
255,1,2
30,8,2
255,24,2
255,8,2
186,4,1
50,17,1
68,18,2
255,25,2
214,22,1
73,18,2
85,1,1
255,10,2
255,3,2
127,21,2
47,16,1
6,9,2
255,25,2
162,23,2
77,18,2
115,18,2
115,10,1
255,15,2
255,20,2
77,14,2
214,16,2
1,24,2
255,6,2
255,16,2
176,22,2
103,3,1
255,10,2
255,12,1
255,9,1
255,15,1
114,19,2
255,18,1
255,1,2
255,1,2
255,23,2
255,2,2
125,24,2
132,12,1
255,5,2
255,24,2
97,13,1
255,8,1
255,11,2
255,8,2
240,21,2
90,24,2
112,16,1
201,10,2
74,17,2
255,8,2
255,4,2
132,12,1
62,1,2
104,8,1
255,9,2
255,3,2
43,16,1
187,24,2
255,25,2
255,14,2
255,4,2
112,1,1
255,16,2
255,8,2
182,14,2
255,24,2
140,14,1
187,1,2
191,24,2
245,23,2
54,8,1
255,20,2
255,24,2
129,4,2
251,12,2
252,11,2
255,13,1
255,22,2
255,1,2
119,4,2
255,10,2
145,20,2
146,3,2
255,10,2
255,12,2
67,25,2
179,4,1
255,22,2
108,10,1
255,7,2
123,13,1
124,23,2
255,16,1
14,24,2
255,4,1
190,7,1
50,25,2
224,17,2
77,17,2
245,11,2
209,11,2
108,23,2
255,9,1
255,0,2
51,20,1
255,3,2
199,0,2
255,18,2
213,5,1
255,12,2
255,11,2
255,15,2
169,2,1
255,18,1
255,20,2
255,12,1
255,3,2
251,14,2
40,14,1
255,10,2
255,25,2
255,25,2
255,15,2
211,3,1
19,20,2
155,22,2
145,25,2
255,1,2
98,23,2
255,15,1
164,7,1
255,25,2
102,10,1
255,16,1
255,11,2
255,16,2
255,13,2
45,1,2
169,21,2
255,14,2
255,5,2
255,12,1
173,20,2
164,24,2
255,4,2
255,3,2
255,23,2
84,17,2
36,11,2
73,9,1
255,25,2
255,24,2
116,21,2
255,9,2
202,18,2
255,15,2
255,17,2
126,6,2
242,17,2
137,6,2
168,11,2
255,10,2
255,19,2
222,19,2
255,9,2
243,13,2
255,16,1
152,25,2
250,26,2
255,5,2
29,0,1
255,1,2
255,10,2
255,5,2
251,15,2
255,4,1
207,24,1
170,19,2
255,18,1
99,10,1
255,4,1
98,5,1
255,25,2
255,23,2
255,16,1
255,10,2
255,10,1
255,24,2
174,1,1
255,25,2
255,13,1
255,11,1
214,1,2
255,17,2
255,24,2
44,14,1
255,7,2
255,14,2
247,6,2
255,14,2
211,16,2
74,20,2
255,1,2
51,4,1
255,18,2
255,3,2
226,19,2
255,11,2
212,13,1
255,25,2
255,2,2
255,16,1
255,16,2
255,22,2
242,16,2
255,15,1
140,16,1
255,25,2
215,24,2
255,8,2
255,15,1
188,12,2
255,10,2
117,24,2
255,4,2
255,2,2
255,4,2
137,22,2
209,21,1
19,5,2
